"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 12:07:33 GMT 2024","Mon Jun 24 12:07:33 GMT 2024","229","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigShouldGetCreatedWithRequiredValuesProvided","User should be able to create build type",""
"passed","Mon Jun 24 12:07:30 GMT 2024","Mon Jun 24 12:07:30 GMT 2024","358","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Mon Jun 24 12:07:26 GMT 2024","Mon Jun 24 12:07:27 GMT 2024","800","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Mon Jun 24 12:07:37 GMT 2024","Mon Jun 24 12:07:37 GMT 2024","180","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Mon Jun 24 12:07:35 GMT 2024","Mon Jun 24 12:07:35 GMT 2024","295","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Mon Jun 24 12:08:36 GMT 2024","Mon Jun 24 12:08:39 GMT 2024","3658","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleToCreateNewProjectFromPrivateRepository","User should not be able to create a project from private repository when not logged into Github",""
"passed","Mon Jun 24 12:07:32 GMT 2024","Mon Jun 24 12:07:33 GMT 2024","215","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not be able to create a project",""
"passed","Mon Jun 24 12:08:39 GMT 2024","Mon Jun 24 12:08:45 GMT 2024","5662","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleToCreateNewProjectManuallyWithExistingName","User should not be able to create a project with existing name",""
"passed","Mon Jun 24 12:08:45 GMT 2024","Mon Jun 24 12:08:57 GMT 2024","12130","UI Suite","UI Test","com.teamcity.ui.CrateNewBuildConfigTests","com.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldBeAbleToCreateNewBuildConfigFromRepository","User should be able to create a build config from public repository ",""
"passed","Mon Jun 24 12:08:57 GMT 2024","Mon Jun 24 12:09:08 GMT 2024","10403","UI Suite","UI Test","com.teamcity.ui.CrateNewBuildConfigTests","com.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldBeAbleToCreateNewBuildConfigManually","User should be able to create a build config manually",""
"passed","Mon Jun 24 12:07:32 GMT 2024","Mon Jun 24 12:07:32 GMT 2024","396","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","Project Admin should not be able to create a build config to a project they are not assigned to",""
"passed","Mon Jun 24 12:07:36 GMT 2024","Mon Jun 24 12:07:37 GMT 2024","79","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Mon Jun 24 12:07:37 GMT 2024","Mon Jun 24 12:07:37 GMT 2024","187","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Mon Jun 24 12:07:31 GMT 2024","Mon Jun 24 12:07:31 GMT 2024","708","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToTheirProject","Project Admin should be able to create a build config to a projec they are assigned to",""
"passed","Mon Jun 24 12:06:11 GMT 2024","Mon Jun 24 12:07:06 GMT 2024","55189","Surefire suite","Surefire test","com.teamcity.ui.SetupTest","com.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Mon Jun 24 12:09:08 GMT 2024","Mon Jun 24 12:09:17 GMT 2024","9340","UI Suite","UI Test","com.teamcity.ui.CrateNewBuildConfigTests","com.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldNotBeAbleToCreateNewBuildConfigFromRepositoryWithNoUrl","User should not be able to create a build config from repo with no URL provided",""
"passed","Mon Jun 24 12:07:37 GMT 2024","Mon Jun 24 12:08:27 GMT 2024","49660","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProjectFromRepository","User should be able to create a project from a public repository",""
"passed","Mon Jun 24 12:09:17 GMT 2024","Mon Jun 24 12:09:24 GMT 2024","6841","UI Suite","UI Test","com.teamcity.ui.CrateNewBuildConfigTests","com.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldNotBeAbleToCreateNewBuildConfigManuallyForExistingName","User should not be able to create a build config manually with existing name ",""
"passed","Mon Jun 24 12:07:35 GMT 2024","Mon Jun 24 12:07:35 GMT 2024","243","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigShouldNotGetCreatedHavingNameEmpty","User should not be able to create a build when Name is empty",""
"passed","Mon Jun 24 12:07:27 GMT 2024","Mon Jun 24 12:07:29 GMT 2024","2485","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Mon Jun 24 12:07:32 GMT 2024","Mon Jun 24 12:07:32 GMT 2024","136","API Suite","API Test","com.teamcity.api.RolesTest","com.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","System Admin should be able to create a project",""
"passed","Mon Jun 24 12:07:34 GMT 2024","Mon Jun 24 12:07:34 GMT 2024","278","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigShouldNotGetCreatedHavingExistingId","User should not be able to create two build types with the same Id",""
"passed","Mon Jun 24 12:07:34 GMT 2024","Mon Jun 24 12:07:35 GMT 2024","267","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigShouldNotGetCreatedHavingExistingName","User should not be able to create a build with existing Name",""
"passed","Mon Jun 24 12:07:35 GMT 2024","Mon Jun 24 12:07:35 GMT 2024","124","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigShouldNotGetCreatedHavingProjectNonExistent","User should not be able to create a build when parent project does not exist",""
"passed","Mon Jun 24 12:07:30 GMT 2024","Mon Jun 24 12:07:31 GMT 2024","236","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Mon Jun 24 12:08:27 GMT 2024","Mon Jun 24 12:08:36 GMT 2024","8527","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProjectManually","User should be able to create a project manually",""
"failed","Mon Jun 24 12:07:33 GMT 2024","Mon Jun 24 12:07:34 GMT 2024","226","API Suite","API Test","com.teamcity.api.BuildConfigurationTest","com.teamcity.api.BuildConfigurationTest","buildConfigShouldNotGetCreatedHavingBuildIdEmpty","User should not be able to create a build when Id is empty",""
