"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 09:24:26 GMT 2024","Fri May 31 09:24:26 GMT 2024","99","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projShouldNotGetCreatedHavingExistingName","projShouldNotGetCreatedHavingExistingName",""
"passed","Fri May 31 09:26:20 GMT 2024","Fri May 31 09:26:28 GMT 2024","8711","UI Suite","UI Test","com.example.teamcity.ui.CrateNewBuildConfigTests","com.example.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldNotBeAbleToCreateNewBuildConfigFromRepositoryWithNoUrl","authorizedUserShouldNotBeAbleToCreateNewBuildConfigFromRepositoryWithNoUrl",""
"passed","Fri May 31 09:24:25 GMT 2024","Fri May 31 09:24:25 GMT 2024","164","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projShouldNotGetCreatedHavingExistingId","projShouldNotGetCreatedHavingExistingId",""
"passed","Fri May 31 09:24:24 GMT 2024","Fri May 31 09:24:24 GMT 2024","58","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projShouldGetCreatedUnderRootHavingCopyAllAssociatedSettingsSetToFalse","projShouldGetCreatedUnderRootHavingCopyAllAssociatedSettingsSetToFalse",""
"passed","Fri May 31 09:24:33 GMT 2024","Fri May 31 09:24:33 GMT 2024","142","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigShouldNotGetCreatedHavingExistingId","buildConfigShouldNotGetCreatedHavingExistingId",""
"passed","Fri May 31 09:24:36 GMT 2024","Fri May 31 09:24:36 GMT 2024","116","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Fri May 31 09:26:10 GMT 2024","Fri May 31 09:26:19 GMT 2024","9002","UI Suite","UI Test","com.example.teamcity.ui.CrateNewBuildConfigTests","com.example.teamcity.ui.CrateNewBuildConfigTests","authorizedUserShouldBeAbleToCreateNewBuildConfigManually","authorizedUserShouldBeAbleToCreateNewBuildConfigManually",""
"passed","Fri May 31 09:24:27 GMT 2024","Fri May 31 09:24:28 GMT 2024","1510","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"failed","Fri May 31 09:25:36 GMT 2024","Fri May 31 09:25:44 GMT 2024","8254","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleToCreateNewProjectFromPrivateRepository","authorizedUserShouldNotBeAbleToCreateNewProjectFromPrivateRepository",""
"passed","Fri May 31 09:24:24 GMT 2024","Fri May 31 09:24:24 GMT 2024","205","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","projShouldGetCreatedUnderAnotherProjWithRequiredFieldsProvided","projShouldGetCreatedUnderAnotherProjWithRequiredFieldsProvided",""
